企业名称,所在镇街,主要类型,分类依据,主营产品,数据来源,证据片段,置信度,是否人工复核
佛山市南海区桂城投资发展有限公司,桂城街道,数据技术类,ENScan_GO采集，关键词：桂城街道,待补充,ENScan_GO/天眼查,| 佛山市南海区桂城投资发展有限公司                     | 谭敏玲   | 存续     |   423936738 |,0.75,false
宏旺控股集团有限公司,待补充,数据技术类,ENScan_GO采集，关键词：桂城街道,待补充,ENScan_GO/天眼查,| 宏旺控股集团有限公司                                 | 戴促辉   | 存续     |   578274639 |,0.75,false
广东星联精密机械有限公司,待补充,数据技术类,ENScan_GO采集，关键词：桂城街道,待补充,ENScan_GO/天眼查,| 广东星联精密机械有限公司                             | 谢国基   | 存续     |  1551522673 |,0.75,false
研究院有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,| 福州⌈数据技术⌋研究院有限公司                   | 郭晓雅   | 存续     | 3166730699 |,0.75,false
股份有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,| 企商在线（北京）⌈数据技术⌋股份有限公司         | 贾晓洁   | 存续     | 2401343179 |,0.75,false
股份有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,| 北京海量⌈数据技术⌋股份有限公司                 | 闫忠文   | 存续     |   24820650 |,0.75,false
南京有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,| 舟谱⌈数据技术⌋南京有限公司                     | 苗江波   | 存续     | 2349195808 |,0.75,false
股份有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,| 天津南大通用⌈数据技术⌋股份有限公司             | 丁明峰   | 存续     |  305574956 |,0.75,false
股份有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,| 柏科⌈数据技术⌋（深圳）股份有限公司             | 刘江     | 存续     | 1178308719 |,0.75,false
股份有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,| 协创⌈数据技术⌋股份有限公司                     | 潘文俊   | 存续     | 2944143481 |,0.75,false
研究院有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,| 河南省现代农业大⌈数据⌋产业⌈技术⌋研究院有限公司 | 张鹰     | 存续     | 3153233379 |,0.75,false
福州数据技术研究院有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,|          | []                | fjbmtt.com | 闽ICP备19007188号-4 | 福州数据技术研究院有限公司 |          |,0.75,false
福州数据技术研究院有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,"|          | [""www.fzidt.com""] | fzidt.com  | 闽ICP备19007188号-1 | 福州数据技术研究院有限公司 |          |",0.75,false
福州数据技术研究院有限公司,待补充,数据技术类,ENScan_GO采集，关键词：数据技术,待补充,ENScan_GO/天眼查,| 榕城数据派 | FIDT20180321 | 福州数据技术研究院有限公司致力于数字医疗、数字城市、工业智能 | https://img5.tianyancha.com/we | https://img5.tianyancha.com/so |          |,0.75,false
